BCV	text	func_morph	form_morph	strongs	lemma	normalized
Matt 1:10	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:10	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:10	Μανασσῆ,	N-ASM	N-ASM	3128	Μανασσῆ	Μανασσῆ	
Matt 1:10	Μανασσῆς	N-NSM	N-NSM	3128	Μανασσῆ	Μανασσῆς	
Matt 1:10	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:10	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:10	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:10	Ἀμώς,	N-PRI	N-PRI	301	Ἀμώς	Ἀμώς	
Matt 1:10	Ἀμὼς	N-PRI	N-PRI	301	Ἀμώς	Ἀμώς	
Matt 1:10	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:10	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:10	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:10	Ἰωσείαν,	N-ASM	N-ASM	2502	Ἰωσίας	Ἰωσείαν	
Matt 1:11	Ἰωσείας	N-NSM	N-NSM	2502	Ἰωσίας	Ἰωσείας	
Matt 1:11	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:11	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:11	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:11	Ἰεχονίαν	N-ASM	N-ASM	2423	Ἰεχονίας	Ἰεχονίαν	
Matt 1:11	καὶ	CONJ	CONJ	2532	καί	καί	
Matt 1:11	τοὺς	T-APM	T-APM	3588	ὁ	τούς	
Matt 1:11	ἀδελφοὺς	N-APM	N-APM	80	ἀδελφός	ἀδελφούς	
Matt 1:11	αὐτοῦ	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
Matt 1:11	ἐπὶ	PREP	PREP	1909	ἐπί	ἐπί	
Matt 1:11	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:11	μετοικεσίας	N-GSF	N-GSF	3350	μετοικεσία	μετοικεσίας	
Matt 1:11	Βαβυλῶνος.	N-GSF	N-GSF	897	Βαβυλών	Βαβυλῶνος	
Matt 1:12	Μετὰ	PREP	PREP	3326	μετά	Μετά	
Matt 1:12	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:12	τὴν	T-ASF	T-ASF	3588	ὁ	τήν	
Matt 1:12	μετοικεσίαν	N-ASF	N-ASF	3350	μετοικεσία	μετοικεσίαν	
